,col1,col2
0,1.356728490712121,A
1,0.45228999257091806,B
2,0.44858087925184725,A
3,1.5576792718222423,A
4,1.1012195807277088,A
5,-0.8415074589115312,A
6,0.6331951786719153,B
7,-0.664267864958582,A
8,0.504154550950278,B
9,0.4766135070198144,B
10,-1.383467312455986,A
11,-0.12184561131103523,A
12,0.26525702358040226,B
13,-0.43629019099415695,B
14,0.3147099423907597,B
15,0.8058977770010688,A
16,-0.030593064230755616,B
17,0.2245994767082595,A
18,1.383424078555975,B
19,0.4731965832252261,B
20,0.20082428967447366,A
21,-0.9580793796413607,A
22,0.6710260113888488,B
23,0.33014994939193854,A
24,1.283739433701408,A
25,0.04687854330331131,B
26,-1.8162665001339957,A
27,-1.7001208688282619,A
28,0.7356807637597333,B
29,-0.5701935976981533,B
30,0.4367677511104973,A
31,0.11423264450235611,A
32,-0.16683966769392072,A
33,-0.09636128558822336,B
34,-0.8653895050452268,B
35,-0.015777688899670742,A
36,-0.5844934327943987,A
37,-0.3722565201257048,A
38,-0.32364904470916106,B
39,-0.22669326989871927,B
40,0.9221734565070863,A
41,-0.12979082920469348,A
42,1.0237023365900986,A
43,1.5378549513264816,A
44,0.8549446510561495,B
45,0.5344685350685111,A
46,0.32683220948352026,A
47,0.86535870905007,B
48,0.0893607385962395,A
49,0.9845698459571985,A
50,0.6141058052896843,A
51,-0.35984046078038784,A
52,0.8958508801028059,A
53,0.09148000597756854,A
54,-0.10613200761231605,B
55,-0.4761991603989872,A
56,0.16601884787457225,B
57,0.9964626154129835,B
58,0.8889400055930373,B
59,0.35339379745895677,B
60,0.5996436407250353,A
61,1.2716967915225579,A
62,-0.14996629117086105,A
63,-1.1154200035302062,A
64,1.3011298521785726,B
65,-0.5297782520307184,B
66,-0.6903381233439047,B
67,-1.7961977553345514,A
68,0.5712830531642964,B
69,-1.6214526245522214,A
70,-0.7502588076917368,B
71,0.5882367945150587,A
72,0.721921252408372,B
73,-0.6517041482182336,B
74,-0.1341533269924053,A
75,-0.8725945264061531,B
76,-0.5483967878111827,B
77,0.26621526015290703,A
78,-0.5016466787964576,B
79,-0.24421504017566917,B
80,-1.464706681617567,B
81,1.1329561648061375,B
82,0.5100665931710657,A
83,0.7929053718372018,A
84,1.2904253246168622,B
85,-0.8252128755457164,A
86,-0.3583944830280237,B
87,-1.894834367582211,A
88,3.140422910102237,B
89,-0.14958531531737618,B
90,1.038727899914912,A
91,-1.2381611443354588,B
92,0.9963884256430094,B
93,1.8575908766496656,B
94,-0.060280749027981445,B
95,-1.0108814965896014,A
96,-0.13879640094553602,A
97,-2.2267615249572263,A
98,-0.0378867010218419,A
99,0.8209671393129958,B
